"Project","Feature","FileName","RelativePath","BusinessTypes","MockData","MockReasons","ApiConnected","OfflineReady","UiConsistent","NavWired","Priority"
"Dukan_x","core/general","startup_error_screen.dart","G:\desktop app genuine\Dukan_x\lib\app\startup_error_screen.dart","All","False","","False","False","False","False","Medium"
"Dukan_x","core/general","access_denied.dart","G:\desktop app genuine\Dukan_x\lib\components\auth\access_denied.dart","All","False","","False","False","False","False","Medium"
"Dukan_x","core/general","login_page.dart","G:\desktop app genuine\Dukan_x\lib\components\auth\login_page.dart","All","False","","False","False","False","True","High"
"Dukan_x","core/general","auth_error_screen.dart","G:\desktop app genuine\Dukan_x\lib\core\auth\auth_error_screen.dart","All","False","","False","False","False","True","High"
"Dukan_x","core/general","auth_loading_screen.dart","G:\desktop app genuine\Dukan_x\lib\core\auth\auth_loading_screen.dart","All","False","","False","False","False","False","High"
"Dukan_x","core/general","module_placeholder_screen.dart","G:\desktop app genuine\Dukan_x\lib\core\module\module_placeholder_screen.dart","All","False","","False","False","False","False","Medium"
"Dukan_x","core/general","accessibility_theme.dart","G:\desktop app genuine\Dukan_x\lib\core\theme\accessibility_theme.dart","All","False","","False","False","False","True","Medium"
"Dukan_x","academic_coaching","ac_academic_year_screen.dart","G:\desktop app genuine\Dukan_x\lib\features\academic_coaching\presentation\screens\ac_academic_year_screen.dart","School ERP","False","","True","False","False","True","Medium"
"Dukan_x","academic_coaching","ac_admissions_screen.dart","G:\desktop app genuine\Dukan_x\lib\features\academic_coaching\presentation\screens\ac_admissions_screen.dart","School ERP","False","","True","False","False","True","Medium"
"Dukan_x","academic_coaching","ac_attendance_screen.dart","G:\desktop app genuine\Dukan_x\lib\features\academic_coaching\presentation\screens\ac_attendance_screen.dart","School ERP","False","","True","False","False","True","Medium"
"Dukan_x","academic_coaching","ac_batches_screen.dart","G:\desktop app genuine\Dukan_x\lib\features\academic_coaching\presentation\screens\ac_batches_screen.dart","School ERP","False","","True","False","False","True","Medium"
"Dukan_x","academic_coaching","ac_bulk_operations_screen.dart","G:\desktop app genuine\Dukan_x\lib\features\academic_coaching\presentation\screens\ac_bulk_operations_screen.dart","School ERP","False","","True","False","False","False","Medium"
"Dukan_x","academic_coaching","ac_certificate_generator_screen.dart","G:\desktop app genuine\Dukan_x\lib\features\academic_coaching\presentation\screens\ac_certificate_generator_screen.dart","School ERP","False","","True","False","False","False","Medium"
"Dukan_x","academic_coaching","ac_classwise_fee_screen.dart","G:\desktop app genuine\Dukan_x\lib\features\academic_coaching\presentation\screens\ac_classwise_fee_screen.dart","School ERP","False","","True","False","False","True","Medium"
"Dukan_x","academic_coaching","ac_class_sections_screen.dart","G:\desktop app genuine\Dukan_x\lib\features\academic_coaching\presentation\screens\ac_class_sections_screen.dart","School ERP","False","","True","False","False","True","Medium"
"Dukan_x","academic_coaching","ac_courses_screen.dart","G:\desktop app genuine\Dukan_x\lib\features\academic_coaching\presentation\screens\ac_courses_screen.dart","School ERP","False","","True","False","False","False","Medium"
"Dukan_x","academic_coaching","ac_dashboard_screen.dart","G:\desktop app genuine\Dukan_x\lib\features\academic_coaching\presentation\screens\ac_dashboard_screen.dart","School ERP","False","","True","False","False","True","High"
"Dukan_x","academic_coaching","ac_documents_screen.dart","G:\desktop app genuine\Dukan_x\lib\features\academic_coaching\presentation\screens\ac_documents_screen.dart","School ERP","False","","False","False","False","True","Medium"
